过渡地址,转币天数,转币次数,最后一次交易时间,第一次交易时间,转币金额,总交易次数
0x402eeb6564caef44164f9f742241cc97a5d6ee41,19,34,2018/6/27,2017/6/18,316.783,508
0xf9503491c0221ede8ec9adf3f54704ed4f642ceb,19,24,2019/5/30,2019/2/3,262.783,67
0x603a13a8d31bdca36c8417daba78dbc780f62db8,18,27,2018/6/25,2017/10/1,7990.49,697
0x41e35d97c66d48d5574c29c1bbb8b49b5cd89dc7,18,26,2021/3/5,2020/5/1,9446.49,122
0xe2eebabd9c6786487e50b65df195829adce4a75d,18,49,2018/6/23,2017/8/9,2279.99,84
0xd6fb0b8d5d125fbfa8c98b3a70847e866a5932e3,18,98,2018/6/22,2017/7/23,11205.7,248
0x6127936f8a7c80abdd2a756821e7cf65b183c287,18,32,2018/6/25,2017/9/11,1296.75,95
0x534f7c1d937c83471f90463f3ddd8f6a7043741e,18,44,2018/6/25,2017/8/27,1063.96,110
0x274d7db6c132a396d4338263dd5035a5cc73b2bf,18,19,2020/7/28,2019/10/31,975.6,301
0x19359075797fdb2119bd8264b6971d1f942994d3,17,39,2018/6/26,2017/6/30,3738.32,99
0x2a675f3ab4ed10b9cad5eb71b635b795e6f0a9f2,17,17,2020/12/24,2019/11/26,57.569,103
0xe72e62ed201f3fefb414419ca6aceada7c66b247,17,27,2018/6/23,2017/8/1,631.62,149
0x332504b90899f863f0eaa6fbffa9083a10047bb5,16,67,2021/2/18,2020/1/31,11184.5,135
0x1a79e1b61f36fefde575cbb8fadae32d91bf778b,16,21,2018/6/26,2017/8/6,518.358,57
0x0779c626841b2514c28272967bfa2a2a1886cf39,16,28,2018/6/26,2017/12/14,304.267,382
0xba014de5a88c623fac14367b98dbdca54dae49c3,16,75,2018/6/25,2017/12/7,582.021,145
0x02638c94ab52659d8e579069f0e0007ecfbdeadf,16,23,2019/11/10,2019/6/15,11723.1,1768
0x326a5cf1778f27bee6b984466c4c9fc0bc9f2c61,15,17,2018/11/21,2018/8/5,7156.51,67
0x50ad41eb1e0b7742f45c14cc04156058bc0acc19,15,31,2018/6/24,2017/6/29,4297.51,60
0xa79d41d31bfde296cf8516de613d23e1dee00b02,15,31,2018/6/26,2017/6/27,1110.79,62
0x37adf59496197928cfd2321f59b02a0f3988b277,15,56,2019/1/16,2018/8/4,9783.17,1409
0x3e16e14ba19ee287ba21374b0a77e4db40db84fe,15,18,2019/4/19,2018/8/5,10914,415
0x4850f3a94d1a309d3425a9a78751d581ed266bf7,15,23,2018/9/11,2017/9/16,3254.87,167
0x8eb903007c7cb2e82711ca14a92a8ed2a19e3f29,15,20,2018/6/26,2017/12/21,243.6,35
0x905d7acfc82d765c17c437fc0229fed6ff38613a,15,17,2018/9/11,2017/12/31,159.352,33
0xe7920e828962a5e62271b9fbed4498d6d1b48e15,15,36,2018/6/23,2017/12/26,468.32,76
0x2543bfda39425e6043edaa88a8bd62cd676f8d0b,15,19,2019/5/29,2018/8/5,13137.4,373
0x08bfb1ea5defe79d226f02a4bc78e8b67cf7a978,14,22,2019/9/3,2019/6/26,5285.38,149
0x1993b478fea044518d2b1131b7f212fcd177c0a6,14,18,2019/11/15,2019/8/7,11542.8,1236
0x3d9776817e53ca8c784ea974de3e98ed181e7b4c,14,25,2018/7/27,2017/6/1,1164.15,340
0xe3fb58e7d806144943d9360109366cf88564d22c,14,21,2018/6/23,2017/12/26,277.958,53
0x3cff0ec634493937ca6c6d3f3618aeaf9c845dc6,14,42,2020/9/7,2020/3/23,5991.85,791
0xc187a1615c5d067e2eaa7903a5a2cc8c9d2bbbe3,14,53,2018/6/25,2017/8/3,1856.38,248
0xa31385399f36d4cb986fcfe049f8eaae58c173e5,14,23,2018/6/26,2017/6/25,1721.3,63
0x87fe5216e94f55ba9b20c334aa1d614c51abd051,14,14,2018/11/20,2018/8/5,6298.89,67
0x14bba13895e301a78202fda008cd07b3da48d46e,14,14,2018/6/26,2017/6/19,403.64,172
0xd4f24c285945f15cc40c8b47e2af65659e7120ad,13,23,2018/6/22,2017/7/26,637.573,60
0xfff0b77090a0cf9b96d879a37906f651f13de190,13,18,2018/6/25,2017/12/8,3630.03,327
0xa1e0bf0f6ac8598167f7a2094126b4b2cd7c4e27,13,17,2019/5/2,2018/8/26,55.982,58
0x95621490018411f9aa036cb8e767b19edd515ca8,13,15,2018/6/25,2018/1/8,30.061,33
0x1a86a0ceb847e8ded63dfc473b8dda13f2298826,13,24,2020/3/9,2019/8/25,12670,46
0x253f32ddfd0e43d9004eefd2fff1e1454f8ccb2a,13,17,2020/6/11,2019/10/17,401.311,34
0x4ef40a83d70f173fdef0b196bf89f4e8adaf339b,13,39,2019/3/26,2018/9/9,614.148,1152
0x233f5624a4fa78f0af7262c358a22635cc29a9e7,13,24,2018/6/26,2017/12/24,519.917,167
0xe92f96cd4f83b3dbfb1558c418335dec944f97c5,12,16,2018/6/23,2017/12/28,126.962,29
0xc92ebd245b4dd385d91b39b87de96b95fb05f2ac,12,58,2018/6/26,2017/9/4,4805.7,130
0x0b876197fb1d52b9ff0b6b11c37577755426c9ce,12,25,2018/6/27,2017/6/4,859.088,182
0xcc1d6e6f530e87228ba54880f3da4d53bbde92b6,12,26,2018/6/26,2018/1/2,92.404,44
0x7ec335b1cc137327ce136abd82fc93187107ab5b,12,16,2018/6/25,2017/11/30,3768.55,272
0x6f82e68c9d8dae0d70a7855f14ebedf91b783b49,12,34,2018/6/23,2017/8/30,2535.24,395
0xbe171ad78b0f06518036a47fdd39871b6cf0ae68,12,26,2018/6/25,2017/7/18,1296.28,93
0x5b59a3d3c4e02f53ef984ff7cec49bd1f90b282d,12,29,2018/9/11,2017/6/1,439.33,146
0x650c57d87d3b99c8d758fd8412c7539cd51dd719,11,12,2018/6/26,2017/6/2,260.481,32
0x6ed01e5c886d27ba752a39d80b8ad498818f9211,11,11,2019/2/9,2018/8/20,119.946,53
0x3c1cc903ddb31c86ae5be96e95f64faecc06c929,11,17,2018/6/27,2017/7/18,1016.43,82
0x076ba254727ca9806d38530a165e3a864c457de8,11,12,2020/7/28,2019/6/22,127.177,26
0x53f89bedddd3c25ee4c963454f3dc2add4293532,11,20,2018/6/25,2018/5/2,108.933,56
