过渡地址,转币天数,转币次数,最后一次交易时间,第一次交易时间,转币金额,总交易次数
0x625bfdc27c6184daf4f0c7e12e3f8b1ca82d64fb,27,29,2019/11/13,2018/9/21,114.22,118
0x51c79f227d6098271b85eb5a27bbcc07c8b90254,27,44,2019/10/1,2018/10/11,4252.56,154
0x1273c302bf3f7e69f567a0fa4109008cdb8a8fb4,25,31,2019/11/13,2018/8/31,304.443,131
0xcc0f8e0211874d258d201bd996dc47dd2a23125e,25,43,2019/11/18,2018/9/21,1238.57,1043
0xa2c2e6ad5acf707f9a47d423c7cd9b183f1d93dd,25,45,2019/7/5,2018/9/4,321.404,560
0x01f422465d4c29c39a4b0f3a5ca49635cf59a31f,24,28,2019/11/25,2018/7/25,3355.56,216
0x29b4e99c1a76855291a2616bde6b45d899b059bd,24,42,2019/5/30,2018/8/14,1459.53,197
0xd68ecd78e18b1024a002716e0116a0699571a6c0,24,28,2019/11/27,2018/8/8,5690.55,380
0x2b0ce5c82a650ec04979845c69edbdf773adcb2c,23,25,2018/7/7,2018/1/1,46.8946,1251
0xf11ac37c143254bc104d12ebd79d0092db695873,23,41,2018/11/12,2018/8/5,9519.59,102
0x49e115108f05cd6c780b9f79304a6d957c80d916,22,37,2018/6/21,2017/11/26,134.429,159
0x36ee5c2a72d82b6ec7b5b775d2602944dcd37672,22,25,2019/10/29,2018/7/31,1690.4,226
0xb8c0a0ca7f637a0e9b789d119d5d091ac991ecb3,21,26,2018/12/13,2018/7/17,11693.9,89
0x9d9fbb17704f6ba7d83b7acdaca0f9494bc34058,21,34,2018/6/9,2017/11/26,677.132,3303
0xf4fef2146cf8753db49afacc193bfca5a1b94370,21,26,2019/1/21,2018/7/23,57.5349,57
0xba2bee578cda88f020a9a00fe6d48f34f50f6e38,21,22,2020/1/17,2019/1/9,335.128,74
0x072b7aef0f7cefbd3781076aab8e77afde71ad1a,21,24,2019/11/1,2018/8/3,5646.96,399
0x2a622cdb7bd7b3771eaa2a8ebbebf64f39f47085,20,23,2018/6/25,2017/12/29,204.811,55
0xddf052519300c643813276f66c00ab9b5c3b3aaa,20,29,2019/4/26,2018/9/13,2611.98,66
0xb912450efad147472b9a153664c03d4a47455aba,20,20,2019/11/24,2018/7/17,54.934,71
0xbfdc92d5a978dac9e45080ce06200a56f492ef07,20,23,2019/9/17,2018/8/3,2973.69,179
0x35eaa44eb2aa9c5c5bd491db9dcadb1a85ea75af,19,19,2019/4/19,2018/10/5,19.9677,38
0x0453adb8f63cf780a98800a324e8b484cfc96293,19,19,2018/7/5,2018/1/5,17.2702,46
0x143950c304e680782be103d8953249289b7243e1,19,22,2018/7/5,2017/11/25,668.144,317
0x0d4a59988d7142e31afadf94b81e39cd85e01e38,19,39,2018/3/30,2018/1/20,1624.42,82
0x11ce3097dd4e432e7b19b0ad8bdd36a5f4a2f35c,19,33,2018/5/27,2018/2/22,3586.34,63
0x11478b78d29257ab282fb258fcefb9ed5b1f1883,19,26,2019/9/1,2018/8/17,1097.04,110
0xbd77b197a22f94c1cc66d387beec172291acc9b3,18,20,2018/7/5,2017/11/28,388.818,385
0x67c4d65ae6e59414bffe980eb67244e797205acb,18,18,2019/11/14,2018/7/20,138.195,148
