过渡地址,转币天数,转币次数,最后一次交易时间,第一次交易时间,转币金额,总交易次数
0x00abc5cecc8c7421668e8ee49cce2f951ba4d7de,22,60,2020/9/11,2019/6/14,1993.36,1329
0x4266214da4258f02668ce7577ce20fe24cd76987,21,50,2020/8/24,2020/5/5,5832.3,128
0x2543bfda39425e6043edaa88a8bd62cd676f8d0b,20,30,2019/5/29,2018/8/5,20203,373
0x3e16e14ba19ee287ba21374b0a77e4db40db84fe,19,24,2019/4/19,2018/8/5,16689,415
0x40619ce71c8c8721cc76396b7c65f2b54fba5ad7,19,36,2021/2/22,2020/4/21,8846.02,242
0x5185107a6640dbddd07640897bf5286ccc81e437,19,66,2018/10/25,2018/8/21,1468.85,85
0x29b012bfe15eb0951bea51cf543e32bd7c8376c5,19,19,2021/3/8,2019/11/22,10617.3,6506
0x6018c771aa8b237b26468f2e10e2fad0974c58c7,18,18,2019/3/18,2019/1/28,5.16706,50
0x2bad7c17cb2c39989cbf43d76b0532c358497ac8,18,18,2021/2/25,2019/12/2,828.966,136
0x561eac527a0c5f6eaf8658472cc706cef131a89d,18,18,2019/3/18,2018/12/14,95.3036,46
0x107be5b0ee08804eff3fc202980932a3812db54f,17,22,2021/1/14,2019/7/5,282.434,251
0x626b9dea488c2568105f7acd0d57fdc045e1eff2,17,45,2018/10/14,2018/9/5,3243.08,61
0x1179f2f0a97a87697749c55de3245930505c5937,17,33,2019/11/13,2019/7/8,177.44,104
0xa064dc830c3794658335f7fdd7ccf9029061b048,16,21,2019/2/25,2018/8/23,407.133,50
0x99968f71044a679a4f5b3b89d3f8d1ced74055b0,16,17,2019/6/3,2019/1/10,241.945,511
0x388bba99da8e40bcfa501abae18c772988525176,16,45,2021/3/4,2020/2/26,1674.68,90
0x0000b446bc8b47be5ef8d5ea8964508130e77ce0,16,29,2019/4/3,2018/8/14,525.42,1010
0xdba8ea015ca0f3d6f62e79630a993f4e5e29dcee,15,29,2018/9/21,2018/8/4,1020.28,57
0x3cb2def7999cebaf16a4d9f42e908f440d3b5bf7,15,26,2020/9/7,2020/3/20,2990.19,84
0x2a023b4045aa6770e76936f77816742b2ed074a4,15,17,2021/2/25,2019/11/22,9627.16,9144
0xf752bd1c2196be2f76a81ef5bcbfac08161b90a6,15,36,2018/10/25,2018/9/3,4584.28,69
0x1194d33bd19c0680d99ae7160510523207b6cd5d,15,19,2019/8/18,2019/7/12,4539.51,199
0x00e7969379699c85280e94e176d11c7a41289cf6,15,19,2021/2/16,2019/6/14,2142.27,201
0x286f1c2a65704b71f54f91ff463eefcf8b09691c,15,18,2021/2/25,2019/12/27,932.54,603
0x52f7a7a286e633a5b35029f0b2358eb406e9a9d6,15,54,2018/12/13,2018/8/13,7409.7,77
0x9d9676cedc53678f055587bf7e0230f5dd2516f6,14,16,2019/6/18,2018/10/22,115.757,50
0xebf62511a996dc667117eaf09c914311a83b87a3,14,34,2019/5/20,2018/9/16,1526.68,69
0xcd0b3618fe47113f02d34a4ce6d379d801ba1d23,14,71,2018/10/25,2018/8/5,3331.25,82
0x1af11fd8d3fc6793011ccf15b2b8a35b262483bf,14,14,2021/2/26,2019/12/13,791.802,127
0x08c9d70414c092ca0c50e9c00016609a67ed33f9,13,17,2021/3/6,2019/6/25,468.492,115
0x7911f91c023b230566352883417a5f0bd76590af,13,23,2019/3/22,2018/8/14,2358.21,38
0x5aff36a7a26176a6530d10d172ee1857a34ce4a5,13,41,2019/6/12,2018/12/22,6170.79,150
0x2b3ff3f633d639686d648dabc97bcc879b2a78b3,13,26,2019/5/5,2018/8/16,2282.72,2851
0x40e94550a07b412084bfde105b2b04b998a217ed,13,18,2020/11/7,2020/4/25,242.932,78
0xd320c5bc835f25e6cee00061b44a766f725dff27,13,16,2019/4/23,2018/9/14,1086.27,32
0xd16381738b0de080ee551b7629eb226624764f74,13,17,2019/2/18,2018/11/30,143.077,89
0xc6343f94a3a058a12e7944bcee82efddf15a7cda,13,15,2019/3/26,2018/10/5,415.361,35
0x0b5728ad733e1b924460573b05207b798f319cf5,13,21,2020/11/24,2019/6/29,1405.03,45
0x012e0100c2fcabb294ee483e9d75ed81ac09992a,13,13,2019/9/24,2019/6/14,27.7548,26
