0x0681d8db095565fe8a346fa0277bffde9c0edbbf,1028,3249,2021-03-09,2018-01-07,2.98552e+07,4254613
0x0084dfd7202e5f5c0c8be83503a492837ca3e95e,531,2902,2021-03-06,2019-06-21,675550,65836
0x000e20a2eefa97815f3f5057fcd8920acf1ae0de,396,1347,2021-03-08,2019-06-14,270206,13196
0x007b8eb47956bc6e92f35647132280382d897c46,379,1254,2021-02-26,2019-06-14,135188,11994
0x007d89690f5626b5b0f41a6a7a07e579ee363181,365,952,2021-03-09,2019-06-14,29375.1,12699
0x0090e6471ca6c4fe7ffff328666c58b2c4035b61,270,1053,2020-06-20,2019-06-14,36436.8,13320
0xd6e1e7385ad23732feb6675b0d6828165a11afbd,184,673,2019-06-10,2018-08-14,10430.9,6477
0x43f746d88396de6547be1df0a2f3fc6c9ebe1fb5,180,778,2021-03-09,2020-05-21,33572.5,22938
0x29ba8be4ed77d1966e2ac3ca85548d257de84e57,166,832,2019-06-12,2018-08-07,97681.1,4484
0x00253e4fc8f05d5e100a2a2c703fc82f05593b9c,160,209,2020-10-29,2019-06-14,4638.19,6143
0x20022757ea8a0feaccaf15a1ff7e87916a32d421,156,669,2021-01-18,2020-01-31,8626.93,10720
0x001d395a144cc31a6cf0d00372a65b79e64463b2,136,310,2020-06-03,2019-06-16,10264.8,1708
0x99e9fdcc49e8a8aca7e0c2ff3accd563f019cfec,129,762,2019-01-14,2018-08-15,157482,10501
0x002d91c86d026319ba0d159c84ffea03bc00adf9,128,191,2021-03-09,2019-06-17,53426.5,14295
0x11c5d96ea17d1041dd066139dfdd23f7df146633,115,868,2020-05-29,2019-07-13,85092.3,1941
0x388cc3c82df96746bb0aa9c8119611d720e0c97d,95,95,2021-03-08,2020-03-19,213.813,197
0x37adf59496197928cfd2321f59b02a0f3988b277,85,256,2019-01-16,2018-08-04,36260.4,1409
0x7a5dab390f4661d763eb093bcfe94faad993adb7,82,152,2019-06-14,2018-08-05,11488.8,2457
0x25c6438c610af1a01dd8e5802ee53fa0f7a715ef,75,83,2021-03-05,2019-11-01,651.037,224
0x872226b7dfabf40ced6ea86ea8d78dfaa212d996,75,192,2019-06-10,2019-01-19,18358.1,1448
0x09afb936bfdf58179b91f8c07fbe8df082145077,73,130,2021-03-05,2019-06-26,7196.13,599
0x268a6efe34c0357df995fd6a46368834d9ec361d,71,123,2020-12-08,2019-10-26,3785.82,285
0x349627ba8b2db20e9f569e5dde327dbf4339a7da,71,482,2019-04-04,2019-01-14,229496,10812
0xfd348d6397cd09ab0cea6e8ebe3cb42782cb8b13,69,206,2019-06-12,2018-12-25,9045,3395
0xd0af9cd3e881cf79d5033f86704e3080e901044c,66,247,2019-04-17,2019-01-08,54683.2,1390
0x12d34d7a2a7e0d84811aa98ef950d8a55224c3e7,62,117,2019-06-12,2018-08-18,18519,937
0x39ac1560c2add8a45a131677b09acf8e0d847dd6,62,105,2019-06-07,2018-08-25,6553.95,1428
0x143718f25022069984f8740a08bbc3e1395b667d,62,62,2021-03-08,2019-10-02,78.426,130
0x2a023b4045aa6770e76936f77816742b2ed074a4,51,70,2021-02-25,2019-11-22,39024.3,9144
0x0066ff36445cc3acad3bc2eb21c7751ad5bd40f5,51,51,2021-02-18,2019-06-27,76.3324,103
0x29b012bfe15eb0951bea51cf543e32bd7c8376c5,48,59,2021-03-08,2019-11-22,34264.2,6506
0x42fe0cd5947ff59da6e548781c30dd5a73e32f3a,48,60,2021-03-05,2020-05-10,2697.26,483
0x13909b63baf095aa2af62fe20496ed70d8ea36df,46,64,2019-02-23,2018-08-04,14939.4,585
0x442ccfcf36ecfbc50a18815da66b12b0f4f1c0f6,40,40,2021-02-25,2020-05-27,64.088,92
0x6d991fa16421b6ffb025571e1231ab6943955ee7,40,56,2018-08-10,2018-04-09,108.503,104
0x3e16e14ba19ee287ba21374b0a77e4db40db84fe,40,54,2019-04-19,2018-08-05,30448.4,415
0x92b638b4d9719f6a324db220e472237779f7ac0b,39,140,2019-06-10,2018-08-23,3270.1,1445
0x286f1c2a65704b71f54f91ff463eefcf8b09691c,36,52,2021-02-25,2019-12-27,2215.21,603
0x4cd57f58c17d9c41c3d21c2c71c0b4f2d2f47d49,36,84,2018-11-20,2018-09-02,8444.98,134
0x0549986777328f88fcf37e5954310f4f31c8f324,33,42,2021-03-08,2019-06-19,3463.77,13548
0x39e3af12434bd2e7f9bc810769f8bbb4ee8fb728,33,39,2019-05-29,2018-08-05,26360.6,371
0x166b63aa75b1ed1fe4ab2a02c5444fc1a085804c,32,92,2019-01-02,2018-10-27,12659.1,720
0x1e48e6a402b6e84ae98ae3d601dd25b62c3f619e,32,57,2020-10-06,2019-09-02,6942.33,145
0x0310f29d54ca84edafd7ad03917d28acff73bd2e,32,32,2021-01-18,2019-06-17,97.2396,181
0x7e76a375d19e8aaf346a1053fd33ff04e0787f28,32,43,2018-08-06,2018-04-16,59.3614,78
0x4647125904ae41a59311392295a96fdb1e15da51,31,31,2020-12-16,2020-05-28,33.3733,111
0xe7a153101f16fd83825692fa5bbd5d3d3dbc15dd,31,45,2019-05-30,2018-08-29,1489.21,396
0x2baf2c080c9e7b67c0dccd55f3dbf595270af62a,30,58,2020-10-26,2019-12-05,237.807,157
