Tue Jun 29 17:50:58 2021    profile.out

         889378 function calls (833697 primitive calls) in 55.045 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       72    0.003    0.000    0.003    0.000 {built-in method builtins.abs}
        1    0.003    0.003    0.091    0.091 datetime.py:5(<module>)
       26    0.003    0.000    0.003    0.000 traceback.py:273(__getitem__)
       71    0.003    0.000    0.003    0.000 {method 'partition' of 'str' objects}
     18/8    0.003    0.000    0.097    0.012 pyparsing.py:3859(parseImpl)
       42    0.003    0.000    0.024    0.001 registry.py:61(add)
    54/10    0.003    0.000    0.091    0.009 pyparsing.py:3762(streamline)
        1    0.003    0.003    0.006    0.006 {method 'readlines' of '_io._IOBase' objects}
       84    0.003    0.000    0.003    0.000 __init__.py:2593(_reload_version)
      257    0.003    0.000    0.003    0.000 hmac.py:13(<genexpr>)
       31    0.003    0.000    0.006    0.000 descriptor.py:669(__new__)
        4    0.003    0.001    0.632    0.158 inspect.py:1873(_signature_strip_non_python_syntax)
       28    0.003    0.000    0.006    0.000 ipaddress.py:1596(_make_netmask)
        1    0.003    0.003    2.136    2.136 url.py:1(<module>)
       30    0.003    0.000    0.005    0.000 ipaddress.py:1251(__init__)
       42    0.003    0.000    0.027    0.001 registry.py:301(_register)
        1    0.003    0.003    0.008    0.008 proposal_contract_pb2.py:4(<module>)
       14    0.003    0.000    2.086    0.149 __init__.py:2006(_by_version_descending)
       95    0.003    0.000    0.003    0.000 pyparsing.py:203(<genexpr>)
        1    0.003    0.003    3.801    3.801 requirements.py:4(<module>)
       53    0.003    0.000    0.003    0.000 six.py:177(_add_module)
       31    0.002    0.000    0.004    0.000 ipaddress.py:1718(_parse_hextet)
       78    0.002    0.000    0.002    0.000 pyparsing.py:2052(leaveWhitespace)
       10    0.002    0.000    0.011    0.001 __init__.py:1161(getLogger)
       14    0.002    0.000    0.043    0.003 der.py:101(encode_oid)
       26    0.002    0.000    0.021    0.001 base.py:22(decorator)
        1    0.002    0.002    0.004    0.004 contract.py:935(initContractParser)
       84    0.002    0.000    0.002    0.000 version.py:346(pre)
    30/28    0.002    0.000    0.076    0.003 typing.py:805(_subs_tree)
       42    0.002    0.000    0.009    0.000 __init__.py:1598(_has)
       32    0.002    0.000    0.002    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      104    0.002    0.000    0.002    0.000 grammar.py:351(visit_reference)
       93    0.002    0.000    0.002    0.000 functools.py:74(wraps)
       59    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.002    0.002    0.115    0.115 abi.py:7(<module>)
        4    0.002    0.001    0.089    0.022 serializable.py:366(__new__)
        1    0.002    0.002    0.210    0.210 applicators.py:1(<module>)
       38    0.002    0.000    0.019    0.001 utils.py:15(evaluate_string)
       40    0.002    0.000    0.003    0.000 functoolz.py:884(<genexpr>)
       45    0.002    0.000    0.002    0.000 base.py:107(__init__)
     12/2    0.002    0.000    0.010    0.005 pyparsing.py:1926(makeOptionalList)
        1    0.002    0.002    0.004    0.004 abi.py:49(<listcomp>)
       31    0.002    0.000    0.004    0.000 symbol_database.py:97(RegisterEnumDescriptor)
       20    0.002    0.000    0.005    0.000 posixpath.py:52(normcase)
        1    0.002    0.002    0.280    0.280 account_contract_pb2.py:4(<module>)
        1    0.002    0.002    0.004    0.004 abi.py:48(<listcomp>)
       47    0.002    0.000    0.002    0.000 six.py:184(find_module)
        8    0.002    0.000    0.014    0.002 posixpath.py:400(_joinrealpath)
        1    0.002    0.002    0.048    0.048 contract.py:33(ContractType)
       16    0.002    0.000    0.107    0.007 grammar.py:360(visit_regex)
       26    0.002    0.000    0.006    0.000 linecache.py:53(checkcache)
        1    0.002    0.002    0.049    0.049 __init__.py:5(HTTPStatus)
       72    0.002    0.000    0.002    0.000 ipaddress.py:417(_check_int_address)
       84    0.002    0.000    0.002    0.000 __init__.py:1929(__init__)
       42    0.002    0.000    0.003    0.000 expressions.py:232(__init__)
       26    0.002    0.000    0.087    0.003 pyparsing.py:1047(extract_stack)
       19    0.002    0.000    0.002    0.000 enum.py:65(__init__)
        1    0.002    0.002    0.006    0.006 block.py:473(TransParser)
        1    0.002    0.002   29.484   29.484 block.py:2(<module>)
       31    0.002    0.000    0.002    0.000 {method 'FindEnumTypeByName' of 'google.protobuf.pyext._message.DescriptorPool' objects}
        1    0.002    0.002    0.074    0.074 random.py:38(<module>)
       84    0.002    0.000    0.002    0.000 version.py:352(post)
        1    0.002    0.002    0.005    0.005 token.py:74(<dictcomp>)
       39    0.002    0.000    0.025    0.001 _compat.py:58(remove_whitespace)
        1    0.002    0.002    0.077    0.077 markers.py:4(<module>)
        2    0.002    0.001    0.043    0.022 subprocess.py:1228(_execute_child)
        1    0.002    0.002    0.130    0.130 client.py:69(<module>)
       36    0.002    0.000    0.008    0.000 pyparsing.py:1069(wrapper)
       25    0.002    0.000    0.091    0.004 pyparsing.py:1250(setParseAction)
       31    0.002    0.000    0.026    0.001 registry.py:283(new_method)
       60    0.002    0.000    0.003    0.000 pkgutil.py:402(get_importer)
       42    0.002    0.000    0.007    0.000 ast.py:30(parse)
       43    0.002    0.000    0.002    0.000 __init__.py:653(__iter__)
       22    0.002    0.000    0.002    0.000 smart_contract_pb2.py:5(<lambda>)
       84    0.002    0.000    0.002    0.000 version.py:357(dev)
      257    0.002    0.000    0.002    0.000 hmac.py:12(<genexpr>)
       18    0.002    0.000    0.015    0.001 _signatures.py:757(_has_keywords)
       30    0.002    0.000    0.003    0.000 typing.py:1033(_abc_negative_cache_version)
       25    0.002    0.000    0.003    0.000 ipaddress.py:476(_prefix_from_prefix_string)
      101    0.002    0.000    0.002    0.000 typing.py:822(__hash__)
       28    0.002    0.000    0.003    0.000 posixpath.py:168(islink)
       41    0.002    0.000    0.011    0.000 typing.py:1263(<genexpr>)
       19    0.002    0.000    0.006    0.000 ipaddress.py:1075(_make_netmask)
        8    0.002    0.000    0.951    0.119 exceptions.py:1(<module>)
       44    0.002    0.000    0.002    0.000 <string>:12(__new__)
       35    0.002    0.000    0.004    0.000 pyparsing.py:2742(__str__)
       57    0.002    0.000    0.002    0.000 {built-in method builtins.repr}
        1    0.002    0.002    0.008    0.008 storage_contract_pb2.py:4(<module>)
        1    0.002    0.002    0.373    0.373 socket.py:47(<module>)
       26    0.002    0.000    0.002    0.000 _rwlock.py:70(__init__)
        7    0.002    0.000    0.002    0.000 {built-in method io.open}
       36    0.002    0.000    0.007    0.000 grammar.py:327(visit_sequence)
        1    0.002    0.002    0.066    0.066 hashlib.py:54(<module>)
        1    0.002    0.002    0.848    0.848 cookiejar.py:26(<module>)
        2    0.002    0.001    0.430    0.215 conversions.py:1(<module>)
       84    0.002    0.000    0.002    0.000 version.py:334(epoch)
        1    0.002    0.002   12.462   12.462 __init__.py:15(<module>)
       40    0.002    0.000    0.002    0.000 warnings.py:428(__init__)
        1    0.002    0.002    0.006    0.006 enum.py:826(unique)
       10    0.002    0.000    0.046    0.005 __init__.py:1446(handle)
        6    0.002    0.000    0.023    0.004 pyparsing.py:4781(<lambda>)
       20    0.002    0.000    0.002    0.000 __init__.py:548(formatMessage)
       59    0.002    0.000    0.002    0.000 {method 'release' of '_thread.RLock' objects}
       27    0.002    0.000    0.021    0.001 registry.py:361(register_encoder)
        1    0.002    0.002    5.574    5.574 __init__.py:41(<module>)
       78    0.002    0.000    0.002    0.000 traceback.py:243(__init__)
       84    0.002    0.000    0.002    0.000 version.py:340(release)
       13    0.002    0.000    0.056    0.004 abc.py:151(register)
       12    0.002    0.000    0.004    0.000 pyparsing.py:4757(<lambda>)
       53    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
       16    0.002    0.000    0.037    0.002 pyparsing.py:1204(setResultsName)
        1    0.002    0.002    0.177    0.177 any_pb2.py:4(<module>)
    24/12    0.002    0.000    0.002    0.000 expressions.py:313(__eq__)
       74    0.002    0.000    0.002    0.000 _collections_abc.py:392(__subclasshook__)
       41    0.002    0.000    0.002    0.000 {method 'remove' of 'list' objects}
        6    0.002    0.000    0.002    0.000 pyparsing.py:693(_asStringList)
        1    0.002    0.002    0.008    0.008 base.py:321(_initWriter)
        5    0.002    0.000    0.005    0.001 __init__.py:771(__init__)
        3    0.002    0.001    2.902    0.967 grammar.py:50(__init__)
        5    0.002    0.000    0.531    0.106 encoding.py:1(<module>)
        1    0.002    0.002    0.008    0.008 exchange_contract_pb2.py:4(<module>)
        2    0.002    0.001    2.419    1.209 connection.py:1(<module>)
    21/20    0.002    0.000    0.022    0.001 pyparsing.py:4003(parseImpl)
       23    0.002    0.000    0.018    0.001 functional.py:40(outer)
       10    0.002    0.000    0.044    0.004 __init__.py:1500(callHandlers)
        1    0.002    0.002    0.131    0.131 models.py:8(<module>)
       10    0.002    0.000    0.003    0.000 __init__.py:1212(_fixupParents)
        1    0.002    0.002    0.002    0.002 contract.py:299(AssetIssueContractParser)
        1    0.002    0.002    0.470    0.470 ssl.py:91(<module>)
       16    0.002    0.000    0.002    0.000 __init__.py:3153(_find_adapter)
       10    0.002    0.000    0.007    0.001 __init__.py:1376(findCaller)
        1    0.002    0.002    1.480    1.480 utils.py:9(<module>)
        2    0.002    0.001    0.047    0.023 subprocess.py:608(__init__)
        1    0.002    0.002    0.086    0.086 registry.py:1(<module>)
       10    0.002    0.000    0.072    0.007 __init__.py:1421(_log)
        2    0.002    0.001    0.327    0.163 transactions.py:1(<module>)
       47    0.002    0.000    0.002    0.000 ipaddress.py:607(__init__)
       14    0.002    0.000    0.003    0.000 __init__.py:139(_check_size)
        1    0.001    0.001    0.328    0.328 keys.py:67(<module>)
       15    0.001    0.000    0.002    0.000 balance_contract_pb2.py:5(<lambda>)
       88    0.001    0.000    0.001    0.000 pyparsing.py:317(__getitem__)
       20    0.001    0.000    0.003    0.000 __init__.py:542(usesTime)
       15    0.001    0.000    0.003    0.000 pyparsing.py:668(<listcomp>)
       11    0.001    0.000    0.002    0.000 __init__.py:360(__getitem__)
       38    0.001    0.000    0.001    0.000 __init__.py:337(_FuncPtr)
       19    0.001    0.000    0.003    0.000 pyparsing.py:4017(__str__)
        1    0.001    0.001    0.046    0.046 adapters.py:9(<module>)
        4    0.001    0.000    0.002    0.001 nodes.py:142(<listcomp>)
       20    0.001    0.000    0.003    0.000 __init__.py:190(_checkLevel)
        1    0.001    0.001    0.175    0.175 pyparsing.py:4875(_makeTags)
        1    0.001    0.001    0.003    0.003 text_encoding.py:51(<listcomp>)
       12    0.001    0.000    0.003    0.000 opcode.py:43(name_op)
       16    0.001    0.000    0.012    0.001 descriptor.py:951(__new__)
        1    0.001    0.001    0.005    0.005 vote_asset_contract_pb2.py:4(<module>)
        1    0.001    0.001    0.008    0.008 witness_contract_pb2.py:4(<module>)
       20    0.001    0.000    0.001    0.000 {built-in method time.localtime}
       14    0.001    0.000    0.070    0.005 enum.py:760(_missing_)
        2    0.001    0.001    0.043    0.022 response.py:1(<module>)
       13    0.001    0.000    0.005    0.000 pyparsing.py:755(copy)
        1    0.001    0.001    3.109    3.109 __init__.py:3242(_initialize_master_working_set)
       72    0.001    0.000    0.001    0.000 pyparsing.py:458(__bool__)
       14    0.001    0.000    0.043    0.003 hashlib.py:123(__get_openssl_constructor)
        1    0.001    0.001    0.003    0.003 abi.py:47(<listcomp>)
       11    0.001    0.000    0.005    0.000 __init__.py:353(__getattr__)
        1    0.001    0.001    0.003    0.003 _compat_pickle.py:9(<module>)
       29    0.001    0.000    0.001    0.000 {built-in method builtins.globals}
        7    0.001    0.000    0.001    0.000 {built-in method posix.close}
       30    0.001    0.000    0.005    0.000 typing.py:206(__new__)
       57    0.001    0.000    0.001    0.000 typing.py:165(__init__)
       12    0.001    0.000    0.298    0.025 <frozen importlib._bootstrap>:433(spec_from_loader)
       50    0.001    0.000    0.001    0.000 {method 'cache_clear' of 'functools._lru_cache_wrapper' objects}
       15    0.001    0.000    0.002    0.000 lists.py:23(is_sedes)
       75    0.001    0.000    0.001    0.000 signal.py:22(<lambda>)
        1    0.001    0.001    0.076    0.076 __init__.py:2(<module>)
       14    0.001    0.000    0.028    0.002 pyparsing.py:2026(__call__)
        1    0.001    0.001    0.011    0.011 pickle.py:181(<listcomp>)
        1    0.001    0.001    0.013    0.013 _collections.py:1(<module>)
       21    0.001    0.000    0.003    0.000 shield_contract_pb2.py:5(<lambda>)
       59    0.001    0.000    0.001    0.000 grammar.py:321(visit_rule)
       74    0.001    0.000    0.001    0.000 signal.py:17(<lambda>)
       16    0.001    0.000    0.002    0.000 symbol_database.py:122(RegisterFileDescriptor)
       18    0.001    0.000    0.002    0.000 asset_issue_contract_pb2.py:5(<lambda>)
        1    0.001    0.001    0.020    0.020 selectors.py:5(<module>)
        1    0.001    0.001    0.178    0.178 __init__.py:24(<module>)
       50    0.001    0.000    0.001    0.000 enum.py:181(<genexpr>)
        1    0.001    0.001    0.080    0.080 util.py:248(_findSoname_ldconfig)
        5    0.001    0.000    0.130    0.026 requirements.py:95(__init__)
        3    0.001    0.000   28.797    9.599 __init__.py:7(<module>)
        6    0.001    0.000    0.001    0.000 storage_contract_pb2.py:5(<lambda>)
       14    0.001    0.000    0.002    0.000 __init__.py:2367(_is_unpacked_egg)
        1    0.001    0.001    2.597    2.597 connectionpool.py:1(<module>)
        1    0.001    0.001    0.061    0.061 _raw_api.py:31(<module>)
        8    0.001    0.000    0.023    0.003 posixpath.py:391(realpath)
       28    0.001    0.000    0.008    0.000 pyparsing.py:3997(__init__)
       42    0.001    0.000    0.001    0.000 enum.py:868(<lambda>)
       25    0.001    0.000    0.001    0.000 base.py:100(__init__)
        1    0.001    0.001    9.214    9.214 account.py:1(<module>)
       20    0.001    0.000    0.002    0.000 __init__.py:387(usesTime)
       33    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:908(__init__)
       13    0.001    0.000    0.043    0.003 curves.py:36(__init__)
       32    0.001    0.000    0.618    0.019 tokenize.py:152(_compile)
     16/6    0.001    0.000    0.025    0.004 pyparsing.py:3939(parseImpl)
       13    0.001    0.000    0.001    0.000 util.py:62(orderlen)
        8    0.001    0.000    0.004    0.001 registry.py:317(_unregister)
       62    0.001    0.000    0.001    0.000 grammar.py:443(<genexpr>)
        1    0.001    0.001    2.172    2.172 ssl_.py:1(<module>)
       31    0.001    0.000    0.001    0.000 enum_type_wrapper.py:48(__init__)
       20    0.001    0.000    0.017    0.001 __init__.py:829(format)
        5    0.001    0.000    0.004    0.001 datetime.py:279(_check_date_fields)
        4    0.001    0.000    3.051    0.763 base.py:1(<module>)
       17    0.001    0.000    0.002    0.000 copyreg.py:96(_slotnames)
        1    0.001    0.001    0.067    0.067 sessions.py:9(<module>)
       12    0.001    0.000    0.002    0.000 trans_reparse.py:61(_retWrapper)
        9    0.001    0.000    0.002    0.000 sre_compile.py:381(_bytes_to_codes)
       31    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
       34    0.001    0.000    0.004    0.000 typing.py:512(<genexpr>)
       21    0.001    0.000    0.001    0.000 {built-in method builtins.vars}
       32    0.001    0.000    0.001    0.000 contract.py:847(getContract)
        6    0.001    0.000    0.002    0.000 pyparsing.py:433(__delitem__)
        1    0.001    0.001    0.076    0.076 request.py:68(<module>)
        5    0.001    0.000    0.001    0.000 datetime.py:46(_days_in_month)
       16    0.001    0.000    0.005    0.000 __init__.py:1962(find_distributions)
       13    0.001    0.000    0.003    0.000 __init__.py:1268(__init__)
       20    0.001    0.000    0.001    0.000 __init__.py:329(getMessage)
       37    0.001    0.000    0.001    0.000 pyparsing.py:2431(parseImpl)
        5    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:622(_load_backward_compatible)
       29    0.001    0.000    0.001    0.000 {method 'keys' of 'mappingproxy' objects}
       28    0.001    0.000    0.001    0.000 {built-in method posix.lstat}
        5    0.001    0.000    0.002    0.000 __init__.py:752(_addHandlerRef)
       13    0.001    0.000    0.003    0.000 grammar.py:309(visit_quantified)
       12    0.001    0.000    0.010    0.001 subprocess.py:1284(<genexpr>)
        1    0.001    0.001    0.003    0.003 _policybase.py:99(_extend_docstrings)
        5    0.001    0.000    0.007    0.001 datetime.py:292(_check_time_fields)
       24    0.001    0.000    0.001    0.000 grammar.py:337(visit_or_term)
       15    0.001    0.000    0.021    0.001 registry.py:403(register)
        1    0.001    0.001    0.015    0.015 expressions.py:5(<module>)
        6    0.001    0.000    0.009    0.002 pyparsing.py:4268(postParse)
       19    0.001    0.000    0.002    0.000 __init__.py:219(_acquireLock)
       85    0.001    0.000    0.001    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.001    0.001    0.102    0.102 logging.py:1(<module>)
       33    0.001    0.000    0.003    0.000 pyparsing.py:644(__getattr__)
       11    0.001    0.000    0.001    0.000 exchange_contract_pb2.py:5(<lambda>)
       19    0.001    0.000    0.001    0.000 __init__.py:228(_releaseLock)
       15    0.001    0.000    0.016    0.001 functoolz.py:889(is_valid_args)
        2    0.001    0.000    0.001    0.001 base.py:119(__init__)
       15    0.001    0.000    0.002    0.000 serializable.py:350(_is_valid_identifier)
        2    0.001    0.000    0.010    0.005 exceptions.py:8(<module>)
       14    0.001    0.000    0.011    0.001 functools.py:479(decorating_function)
       32    0.001    0.000    0.001    0.000 {method 'end' of '_sre.SRE_Match' objects}
       26    0.001    0.000    0.001    0.000 base.py:15(parse_type_str)
       11    0.001    0.000    0.001    0.000 {method 'endswith' of 'bytes' objects}
       38    0.001    0.000    0.001    0.000 {built-in method _ctypes.sizeof}
       12    0.001    0.000    0.424    0.035 pyparsing.py:4251(__init__)
        6    0.001    0.000    0.003    0.000 base.py:349(flush)
        8    0.001    0.000    0.001    0.000 {built-in method now}
       12    0.001    0.000    0.002    0.000 __init__.py:2385(yield_lines)
       31    0.001    0.000    0.004    0.000 typing.py:1350(<genexpr>)
        1    0.001    0.001    0.206    0.206 inspect.py:27(<module>)
       19    0.001    0.000    0.001    0.000 enum.py:135(<dictcomp>)
        1    0.001    0.001    0.022    0.022 transactionbuilder.py:7(<module>)
       16    0.001    0.000    0.001    0.000 {method 'startswith' of 'bytes' objects}
        1    0.001    0.001    0.005    0.005 market_contract_pb2.py:4(<module>)
        4    0.001    0.000    0.637    0.159 inspect.py:1945(_signature_fromstr)
        2    0.001    0.000    3.618    1.809 __init__.py:3(<module>)
        8    0.001    0.000    0.001    0.000 pyparsing.py:1567(resetCache)
       19    0.001    0.000    0.012    0.001 registry.py:292(new_method)
        5    0.001    0.000    0.144    0.029 __init__.py:461(get_distribution)
        3    0.001    0.000    0.010    0.003 datetime.py:1389(__new__)
        1    0.001    0.001    0.017    0.017 retry.py:1(<module>)
        1    0.001    0.001    0.647    0.647 main.py:16(<module>)
        9    0.001    0.000    0.002    0.000 trans_reparse.py:65(_rawDataWrapper)
        2    0.001    0.000    0.056    0.028 core.py:1(<module>)
       10    0.001    0.000    0.001    0.000 __init__.py:157(<lambda>)
        1    0.001    0.001    0.003    0.003 enum.py:850(<listcomp>)
       18    0.001    0.000    0.001    0.000 __init__.py:685(__init__)
       30    0.001    0.000    0.001    0.000 __init__.py:705(filter)
        6    0.001    0.000    0.002    0.000 opcode.py:51(jabs_op)
        1    0.001    0.001    6.100    6.100 http.py:16(<module>)
        1    0.001    0.001    0.846    0.846 utils.py:5(<module>)
        2    0.001    0.000    0.001    0.000 {built-in method posix.mkdir}
        1    0.001    0.001    0.069    0.069 signal.py:1(<module>)
        1    0.001    0.001    0.670    0.670 version.py:4(<module>)
        1    0.001    0.001    0.045    0.045 ipaddress.py:2233(_IPv6Constants)
        1    0.001    0.001    0.021    0.021 base.py:172(Parse)
       15    0.001    0.000    0.015    0.001 inspect.py:2999(bind_partial)
        1    0.001    0.001    0.115    0.115 calendar.py:6(<module>)
       24    0.001    0.000    0.001    0.000 {method 'mro' of 'type' objects}
        2    0.001    0.000    0.140    0.070 __init__.py:4(<module>)
        1    0.001    0.001    0.003    0.003 block.py:397(BlockParser)
        1    0.001    0.001    0.005    0.005 inspect.py:2392(_ParameterKind)
        4    0.001    0.000    0.002    0.001 uuid.py:106(__init__)
       34    0.001    0.000    0.001    0.000 pyparsing.py:506(haskeys)
        1    0.001    0.001    1.357    1.357 grammar.py:169(_expressions_from_rules)
       12    0.001    0.000    0.001    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
        1    0.001    0.001    0.217    0.217 universaldetector.py:36(<module>)
       16    0.001    0.000    0.001    0.000 pyparsing.py:2751(charsAsStr)
        5    0.001    0.000    0.008    0.002 typing.py:668(_tp_cache)
       13    0.001    0.000    0.002    0.000 re.py:249(escape)
        1    0.001    0.001    0.002    0.002 tempfile.py:24(<module>)
        3    0.001    0.000    0.003    0.001 lists.py:48(__init__)
        1    0.001    0.001    0.004    0.004 errors.py:5(<module>)
        9    0.001    0.000    0.061    0.007 __init__.py:1298(info)
        8    0.001    0.000    0.001    0.000 six.py:185(__get_module)
       20    0.001    0.000    0.001    0.000 {built-in method time.strftime}
        1    0.001    0.001    0.001    0.001 {function Random.seed at 0x7f397f971bf8}
        1    0.001    0.001    0.221    0.221 plistlib.py:47(<module>)
        1    0.001    0.001    0.001    0.001 contract.py:552(proposal_approve_contractParser)
       14    0.001    0.000    0.001    0.000 decorators.py:11(__init__)
       38    0.001    0.000    0.001    0.000 {method 'setter' of 'property' objects}
        3    0.001    0.000    0.003    0.001 serializable.py:415(<setcomp>)
        9    0.001    0.000    0.001    0.000 account_contract_pb2.py:5(<lambda>)
       10    0.001    0.000    0.135    0.013 __init__.py:3065(parse_requirements)
       42    0.001    0.000    0.001    0.000 pyparsing.py:315(__init__)
        8    0.001    0.000    0.003    0.000 inspect.py:2023(p)
        1    0.001    0.001    0.030    0.030 socks.py:40(<module>)
       17    0.001    0.000    0.001    0.000 serializable.py:397(<genexpr>)
       10    0.001    0.000    0.308    0.031 six.py:80(_import_module)
       19    0.001    0.000    0.002    0.000 enum.py:312(__getattr__)
        8    0.001    0.000    0.001    0.000 os.py:742(encode)
        6    0.001    0.000    0.006    0.001 pyparsing.py:3465(parseImpl)
       32    0.001    0.000    0.001    0.000 {method 'reverse' of 'list' objects}
       18    0.001    0.000    0.013    0.001 _signatures.py:761(<listcomp>)
        1    0.001    0.001    0.158    0.158 subprocess.py:42(<module>)
        2    0.001    0.000    0.003    0.002 datetime.py:1059(__new__)
        2    0.001    0.000    3.332    1.666 codec.py:1(<module>)
        6    0.001    0.000    0.016    0.003 __init__.py:108(import_module)
       12    0.001    0.000    0.001    0.000 typing.py:889(__extrahook__)
       11    0.001    0.000    0.004    0.000 pyparsing.py:3851(__init__)
        6    0.001    0.000    0.015    0.003 <frozen importlib._bootstrap>:982(_gcd_import)
        1    0.001    0.001    0.080    0.080 filepost.py:1(<module>)
        9    0.001    0.000    0.001    0.000 __future__.py:79(__init__)
        7    0.001    0.000    0.020    0.003 __init__.py:2327(normalize_path)
        1    0.001    0.001    0.047    0.047 ipaddress.py:1542(_IPv4Constants)
        2    0.001    0.000    0.005    0.002 _mode_gcm.py:72(<listcomp>)
       11    0.001    0.000    0.001    0.000 functoolz.py:118(instanceproperty)
       15    0.001    0.000    0.018    0.001 functoolz.py:901(is_partial_args)
       25    0.001    0.000    0.001    0.000 ipaddress.py:433(_ip_int_from_prefix)
        1    0.001    0.001    0.001    0.001 numbers.py:32(Complex)
        2    0.001    0.000    0.048    0.024 auto.py:1(<module>)
        3    0.001    0.000    0.001    0.000 {built-in method _ctypes.POINTER}
       18    0.001    0.000    0.001    0.000 serializable.py:475(<genexpr>)
       12    0.001    0.000    0.001    0.000 block.py:465(_retWrapper)
        9    0.001    0.000    0.001    0.000 pyparsing.py:3841(__str__)
        1    0.001    0.001    0.065    0.065 functional.py:1(<module>)
        1    0.001    0.001    0.002    0.002 timeout.py:1(<module>)
        1    0.001    0.001    0.002    0.002 CMAC.py:23(<module>)
       11    0.001    0.000    0.005    0.000 functional.py:37(apply_to_return_value)
        1    0.001    0.001    0.136    0.136 _mode_siv.py:33(<module>)
        1    0.001    0.001    0.249    0.249 header.py:5(<module>)
        2    0.001    0.000    0.026    0.013 util.py:1(<module>)
       18    0.001    0.000    0.012    0.001 _signatures.py:750(check_keywords)
        1    0.001    0.001    0.079    0.079 humanize.py:1(<module>)
       12    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
       20    0.001    0.000    0.001    0.000 __init__.py:390(format)
        1    0.001    0.001    0.074    0.074 _mode_gcm.py:33(<module>)
       42    0.001    0.000    0.001    0.000 __init__.py:907(_added_new)
        4    0.001    0.000    0.001    0.000 __init__.py:1456(addHandler)
        1    0.001    0.001    1.242    1.242 feedparser.py:20(<module>)
        8    0.001    0.000    0.004    0.000 pyparsing.py:3935(__init__)
        1    0.001    0.001    0.087    0.087 trx.py:15(<module>)
        3    0.001    0.000    1.759    0.586 expressions.py:125(match)
        1    0.001    0.001    0.003    0.003 ipaddress.py:1245(IPv4Address)
        3    0.001    0.000    3.731    1.244 abi.py:1(<module>)
       15    0.001    0.000    0.001    0.000 typing.py:2209(NewType)
        1    0.001    0.001    0.001    0.001 contract.py:617(trigger_smart_contractParser)
        8    0.001    0.000    0.040    0.005 hashlib.py:79(__get_builtin_constructor)
        5    0.001    0.000    0.133    0.027 __init__.py:3092(__init__)
        2    0.001    0.000    0.006    0.003 misc.py:1(<module>)
       15    0.001    0.000    0.001    0.000 serializable.py:335(_mk_field_property)
       10    0.001    0.000    0.001    0.000 threading.py:1230(current_thread)
        1    0.001    0.001    0.120    0.120 zipfile.py:5(<module>)
        2    0.001    0.000    0.117    0.059 request.py:1(<module>)
       14    0.001    0.000    0.001    0.000 functools.py:448(lru_cache)
        1    0.001    0.001    0.102    0.102 ipaddress.py:9(<module>)
        5    0.001    0.000    0.135    0.027 __init__.py:3137(parse)
       14    0.001    0.000    0.001    0.000 typing.py:185(_get_type_vars)
       14    0.001    0.000    0.011    0.001 __init__.py:1838(getLogger)
        1    0.001    0.001    0.001    0.001 langrussianmodel.py:4(<module>)
        8    0.001    0.000    0.002    0.000 pyparsing.py:3508(__str__)
        1    0.001    0.001    0.048    0.048 _mode_ccm.py:33(<module>)
       29    0.001    0.000    0.001    0.000 grammar.py:377(visit_literal)
        1    0.001    0.001    0.020    0.020 poolmanager.py:1(<module>)
        1    0.001    0.001    0.027    0.027 functoolz.py:1(<module>)
        1    0.001    0.001    0.002    0.002 contract.py:162(Contract)
        1    0.001    0.001    0.031    0.031 serializable.py:1(<module>)
       15    0.001    0.000    0.001    0.000 _signatures.py:612(<genexpr>)
       24    0.001    0.000    0.001    0.000 tokenize.py:148(<listcomp>)
        3    0.001    0.000    0.052    0.017 numeric.py:1(<module>)
        1    0.001    0.001    0.003    0.003 typing.py:2244(IO)
       20    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
        1    0.001    0.001    0.035    0.035 contract.py:7(<module>)
        8    0.001    0.000    0.323    0.040 pyparsing.py:1608(parseString)
       18    0.001    0.000    0.001    0.000 enum.py:337(__members__)
        1    0.001    0.001    0.023    0.023 charset.py:6(<module>)
        7    0.001    0.000    0.001    0.000 block.py:393(_blockHeaderWrapper)
        3    0.001    0.000    0.001    0.000 __init__.py:471(__init__)
        8    0.001    0.000    0.002    0.000 os.py:664(__getitem__)
        1    0.001    0.001    0.011    0.011 env.py:1(<module>)
        1    0.001    0.001    0.001    0.001 base.py:11(BaseAccount)
        1    0.001    0.001    0.094    0.094 currency.py:1(<module>)
        3    0.001    0.000    0.077    0.026 address.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _mode_ocb.py:109(OcbMode)
       14    0.001    0.000    0.001    0.000 six.py:180(find_module)
        2    0.001    0.000    0.001    0.001 functools.py:196(<listcomp>)
       11    0.001    0.000    0.001    0.000 {built-in method time.time}
