Tue Jun 29 17:50:58 2021    profile.out

         889378 function calls (833697 primitive calls) in 55.045 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3475    0.107    0.000    0.107    0.000 {built-in method _imp.release_lock}
    546/8    0.094    0.000   31.501    3.938 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
       98    0.091    0.001    0.802    0.008 __init__.py:2053(<genexpr>)
      148    0.086    0.001    0.749    0.005 typing.py:922(__new__)
      451    0.085    0.000    0.189    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      644    0.084    0.000    0.211    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
  491/480    0.083    0.000    2.772    0.006 <frozen importlib._bootstrap>:564(module_from_spec)
     1290    0.082    0.000    0.082    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
       19    0.081    0.004    0.362    0.019 enum.py:124(__new__)
      266    0.081    0.000    0.160    0.001 abc.py:135(<setcomp>)
      902    0.078    0.000    0.130    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
     1578    0.077    0.000    0.077    0.000 {built-in method _CheckCalledFromGeneratedFile}
      879    0.076    0.000    0.155    0.000 sre_compile.py:388(_simple)
     2677    0.075    0.000    0.075    0.000 {method 'find' of 'bytearray' objects}
     1290    0.075    0.000    0.146    0.000 base.py:338(write)
       13    0.075    0.006    0.339    0.026 enum.py:625(<listcomp>)
      316    0.074    0.000    0.336    0.001 inspect.py:2102(_signature_from_function)
     1290    0.073    0.000    0.219    0.000 base.py:95(Write)
     1290    0.071    0.000    0.071    0.000 {method 'writerow' of '_csv.writer' objects}
     2347    0.071    0.000    0.071    0.000 nodes.py:44(__init__)
     1769    0.071    0.000    0.100    0.000 {built-in method builtins.setattr}
      471    0.071    0.000    0.160    0.000 copy.py:268(_reconstruct)
      554    0.070    0.000    0.117    0.000 <frozen importlib._bootstrap>:176(cb)
     1526    0.070    0.000    0.070    0.000 {built-in method __new__ of type object at 0x7f398d3f70e0}
       19    0.069    0.004    0.141    0.007 enum.py:160(<setcomp>)
      958    0.063    0.000    0.408    0.000 __init__.py:2045(<genexpr>)
     2076    0.063    0.000    0.063    0.000 sre_parse.py:111(__init__)
      870    0.062    0.000    0.105    0.000 version.py:98(_compare)
     1962    0.062    0.000    0.062    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      451    0.062    0.000    0.269    0.001 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      147    0.060    0.000    0.322    0.002 sre_compile.py:482(_compile_info)
      316    0.060    0.000    0.187    0.001 enum.py:70(__setitem__)
     2438    0.059    0.000    0.059    0.000 {built-in method builtins.iter}
      536    0.059    0.000    0.141    0.000 inspect.py:485(unwrap)
     2347    0.058    0.000    0.058    0.000 nodes.py:51(expr_name)
      492    0.057    0.000    0.218    0.000 enum.py:797(__or__)
     1779    0.056    0.000    0.056    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      554    0.055    0.000    0.088    0.000 <frozen importlib._bootstrap>:58(__init__)
      988    0.055    0.000    0.083    0.000 sre_compile.py:102(fixup)
     1841    0.055    0.000    0.055    0.000 {method 'group' of '_sre.SRE_Match' objects}
      220    0.055    0.000    0.112    0.001 inspect.py:1825(_signature_is_functionlike)
        1    0.055    0.055    0.202    0.202 packages.py:1(<module>)
      902    0.054    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      601    0.053    0.000    0.132    0.000 inspect.py:2452(__init__)
    486/1    0.053    0.000   55.063   55.063 {built-in method builtins.exec}
    371/8    0.053    0.000    0.226    0.028 pyparsing.py:1370(_parseNoCache)
   312/59    0.053    0.000    0.103    0.002 grammar.py:398(_resolve_refs)
      796    0.050    0.000    0.130    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
     1083    0.050    0.000    0.050    0.000 {method 'FindFieldByName' of 'google.protobuf.pyext._message.DescriptorPool' objects}
   178/29    0.050    0.000    0.173    0.006 abc.py:196(__subclasscheck__)
      491    0.049    0.000    0.195    0.000 <frozen importlib._bootstrap>:318(__exit__)
      552    0.049    0.000    0.299    0.001 <frozen importlib._bootstrap>:147(__enter__)
     1568    0.049    0.000    0.049    0.000 {method 'lower' of 'str' objects}
      451    0.047    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      762    0.047    0.000    0.069    0.000 sre_parse.py:81(groups)
      918    0.047    0.000    0.068    0.000 <frozen importlib._bootstrap>:416(parent)
      725    0.047    0.000    0.166    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      658    0.046    0.000    0.072    0.000 expressions.py:237(_uncached_match)
    451/8    0.046    0.000   31.404    3.926 <frozen importlib._bootstrap_external>:672(exec_module)
     1291    0.046    0.000    0.046    0.000 {built-in method _hashlib.openssl_sha256}
1292/1017    0.045    0.000    0.202    0.000 {built-in method builtins.issubclass}
      429    0.045    0.000   11.171    0.026 re.py:286(_compile)
      484    0.045    0.000    0.138    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      484    0.045    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
      644    0.044    0.000    0.063    0.000 <frozen importlib._bootstrap>:78(acquire)
  315/127    0.044    0.000    1.292    0.010 expressions.py:423(_uncached_match)
     1290    0.044    0.000    0.044    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
     1106    0.043    0.000    0.043    0.000 {method 'format' of 'str' objects}
      644    0.043    0.000    0.064    0.000 <frozen importlib._bootstrap>:103(release)
     1067    0.043    0.000    0.128    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      266    0.042    0.000    0.070    0.000 enum.py:20(_is_descriptor)
      484    0.042    0.000    0.391    0.001 <frozen importlib._bootstrap_external>:361(_get_cached)
      307    0.042    0.000    0.077    0.000 typing.py:354(_type_check)
        2    0.041    0.020    0.145    0.072 six.py:21(<module>)
      147    0.041    0.000   11.005    0.075 sre_compile.py:557(compile)
     1417    0.041    0.000    0.041    0.000 {built-in method _sre.getlower}
     1309    0.040    0.000    0.040    0.000 {built-in method _thread.get_ident}
      935    0.040    0.000    0.431    0.000 <frozen importlib._bootstrap>:403(cached)
       31    0.039    0.001    0.170    0.005 __init__.py:357(namedtuple)
      347    0.039    0.000    0.064    0.000 socket.py:76(<lambda>)
     1467    0.039    0.000    0.039    0.000 {method 'isupper' of 'str' objects}
      274    0.038    0.000    0.073    0.000 sre_parse.py:294(_class_escape)
      108    0.038    0.000    0.073    0.001 functools.py:44(update_wrapper)
    622/8    0.038    0.000   31.401    3.925 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      700    0.038    0.000    0.060    0.000 _signatures.py:598(<genexpr>)
      852    0.038    0.000    0.056    0.000 inspect.py:159(isfunction)
  374/257    0.037    0.000    1.198    0.005 functoolz.py:821(_check_sigspec)
